TIteration;TBlock;TMessGen;TMessSend;TDisplay;TOA;Essai;TxPower;SF;Bandwith;CodingRate;Taille
38205770;38205859;38209002;39134059;39218003;922;0;14;11;125;4_6;25
39284685;39284765;39287900;40213057;40297034;922;0;14;11;125;4_6;26
40363703;40363783;40366931;41292054;41375987;922;0;14;11;125;4_6;27
41442654;41442734;41445862;42471061;42555079;1020;0;14;11;125;4_6;28
42625412;42625491;42628687;43652061;43736018;1020;0;14;11;125;4_6;29
43802650;43802731;43805862;44831057;44915064;1020;0;14;11;125;4_6;30
44981781;44981880;44985021;46010059;46094023;1020;0;14;11;125;4_6;31
46160616;46160696;46163831;47287057;47371069;1119;0;14;11;125;4_6;32
47437790;47437887;47441029;48564059;48647990;1119;0;14;11;125;4_6;33
48714671;48714751;48717900;49841057;49925058;1119;0;14;11;125;4_6;34
49991752;49991834;49994982;51118058;51202004;1119;0;14;11;125;4_6;35
51268637;51268718;51271861;52395050;52479061;1119;0;14;11;125;4_6;36
52549403;52549481;52552684;53772060;53856014;1217;0;14;11;125;4_6;37
53922624;53922704;53925848;55147056;55231074;1217;0;14;11;125;4_6;38
55297801;55297896;55301040;56522058;56606024;1217;0;14;11;125;4_6;39
56672658;56672739;56675888;57897056;57981055;1217;0;14;11;125;4_6;40
58047743;58047827;58050979;59370058;59453991;1315;0;14;11;125;4_6;41
59520639;59520724;59523863;60843056;60927065;1315;0;14;11;125;4_6;42
60993779;60993864;60997022;62316058;62399993;1315;0;14;11;125;4_6;43
62470247;62470326;62473531;63791058;63875059;1315;0;14;11;125;4_6;44
63941755;63941837;63944992;65264057;65347991;1315;0;14;11;125;4_6;45
65414624;65414704;65417850;66835056;66919055;1414;0;14;11;125;4_6;46
66985762;66985845;66988998;68406058;68489993;1414;0;14;11;125;4_6;47
68556656;68556736;68559892;69977056;70061086;1414;0;14;11;125;4_6;48
70127787;70127879;70131028;71548058;71632019;1414;0;14;11;125;4_6;49
71698693;71698778;71701938;73217056;73301114;1512;0;14;11;125;4_6;50
73367803;73367894;73371044;74886058;74970004;1512;0;14;11;125;4_6;51
2779928;2780006;2780196;2780279;2864382;0;0;14;0;125;4_7;0
2930974;2931054;2931309;3382063;3465950;447;0;14;11;125;4_7;1
3532489;3532569;3535672;3987051;4070946;447;0;14;11;125;4_7;2
4137570;4137650;4140760;4592053;4675862;447;0;14;11;125;4_7;3
4742409;4742490;4745602;5197051;5278516;447;0;14;11;125;4_7;4
5342740;5342824;5345956;5911057;5994920;562;0;14;11;125;4_7;5
6061522;6061605;6064718;6630059;6713983;562;0;14;11;125;4_7;6
6784121;6784199;6787376;7352059;7435873;562;0;14;11;125;4_7;7
7502427;7502508;7505623;8071055;8154962;562;0;14;11;125;4_7;8
8221577;8221658;8224775;8790052;8873858;562;0;14;11;125;4_7;9
8940459;8940539;8943648;9625055;9709040;676;0;14;11;125;4_7;10
